Iteration,BestFitness
0,0.08324845
1,0.08324845
2,0.08324845
3,0.08324845
4,0.08324845
5,0.08324845
6,0.07372629
7,0.07372629
8,0.07372629
9,0.07372629
10,0.07372629
11,0.07372629
12,0.07372629
13,0.07372629
14,0.07372629
15,0.07372629
16,0.07372629
17,0.07372629
18,0.07372629
19,0.07372629
20,0.07372629
21,0.07372629
22,0.07372629
23,0.07372629
24,0.07372629
25,0.07372629
26,0.07372629
27,0.07372629
28,0.07372629
29,0.07372629
30,0.07113907
31,0.06875713
32,0.06875713
33,0.06875713
34,0.06875713
35,0.06875713
36,0.06875713
37,0.06875713
38,0.06875713
39,0.06875713
40,0.06875713
41,0.06875713
42,0.06875713
43,0.06875713
44,0.06875713
45,0.06875713
46,0.06875713
47,0.06875713
48,0.06875713
49,0.06875713
50,0.06875713
51,0.06875713
52,0.06875713
53,0.06875713
54,0.06875713
55,0.06875713
56,0.06875713
57,0.06875713
58,0.06875713
59,0.06875713
60,0.06875713
61,0.06875713
62,0.06875713
63,0.06875713
64,0.06875713
65,0.06875713
66,0.06875713
67,0.06875713
68,0.06875713
69,0.06875713
70,0.06875713
71,0.06875713
72,0.06875713
73,0.06875713
74,0.06875713
75,0.06875713
76,0.06875713
77,0.06875713
78,0.06875713
79,0.06875713
80,0.06875713
81,0.06875713
82,0.06875713
83,0.06875713
84,0.06875713
85,0.06875713
86,0.06875713
87,0.06875713
88,0.06875713
89,0.06875713
90,0.06875713
91,0.06875713
92,0.06875713
93,0.06875713
94,0.06875713
95,0.06875713
96,0.06875713
97,0.06875713
98,0.06875713
99,0.06875713
100,0.06875713
101,0.06875713
102,0.06875713
103,0.06875713
104,0.06875713
105,0.06875713
106,0.06875713
107,0.06875713
108,0.06875713
109,0.06875713
110,0.06875713
111,0.06875713
112,0.06875713
113,0.06875713
114,0.06875713
115,0.06875713
116,0.06875713
117,0.06875713
118,0.06875713
119,0.06875713
120,0.06875713
121,0.06875713
122,0.06875713
123,0.06875713
124,0.06875713
125,0.06875713
126,0.06875713
127,0.06875713
128,0.06875713
129,0.06875713
130,0.06875713
131,0.06875713
132,0.06875713
133,0.06875713
134,0.06590015
135,0.06590015
136,0.06590015
137,0.06567151
138,0.06567151
139,0.06567151
140,0.06567151
141,0.06567151
142,0.06567151
143,0.06567151
144,0.06567151
145,0.06567151
146,0.06567151
147,0.06567151
148,0.06567151
149,0.06567151
150,0.06567151
151,0.06567151
152,0.06158059
153,0.05197108
154,0.05197108
155,0.05197108
156,0.05197108
157,0.05197108
158,0.05197108
159,0.05197108
160,0.05197108
161,0.03749003
162,0.03749003
163,0.03749003
164,0.03685896
165,0.03685896
166,0.03685896
167,0.03685896
168,0.03685896
169,0.03685896
170,0.03685896
171,0.03685896
172,0.03685896
173,0.03685896
174,0.03685896
175,0.03685896
176,0.03685896
177,0.03685896
178,0.03685896
179,0.03685896
180,0.03685896
181,0.03685896
182,0.03685896
183,0.03685896
184,0.03685896
185,0.03685896
186,0.03685896
187,0.03685896
188,0.03685896
189,0.03685896
190,0.03685896
191,0.03685896
192,0.03685896
193,0.03685896
194,0.03685896
195,0.03685896
196,0.03685896
197,0.03685896
198,0.03685896
199,0.03685896
200,0.03685896
201,0.03685896
202,0.03685896
203,0.03685896
204,0.03685896
205,0.03685896
206,0.03685896
207,0.03685896
208,0.03685896
209,0.03685896
210,0.03685896
211,0.03685896
212,0.03685896
213,0.03685896
214,0.03685896
215,0.03685896
216,0.03685896
217,0.03685896
218,0.03685896
219,0.03685896
220,0.03685896
221,0.03685896
222,0.03685896
223,0.03685896
224,0.03685896
225,0.03685896
226,0.03685896
227,0.03685896
228,0.03685896
229,0.03685896
230,0.03685896
231,0.03685896
232,0.03685896
233,0.03685896
234,0.03685896
235,0.03685896
236,0.03685896
237,0.03685896
238,0.03685896
239,0.03685896
240,0.03685896
241,0.03685896
242,0.03685896
243,0.03685896
244,0.03685896
245,0.03685896
246,0.03685896
247,0.03685896
248,0.03685896
249,0.03685896
250,0.03685896
251,0.03685896
252,0.03685896
253,0.03685896
254,0.03685896
255,0.03685896
256,0.03685896
257,0.03685896
258,0.03685896
259,0.03685896
