Iteration,BestFitness
0,0.06112741
1,0.06112741
2,0.06112741
3,0.06112741
4,0.06112741
5,0.06112741
6,0.06112741
7,0.06112741
8,0.06112741
9,0.06112741
10,0.06112741
11,0.06112741
12,0.06112741
13,0.06112741
14,0.06112741
15,0.06112741
16,0.06112741
17,0.06112741
18,0.06112741
19,0.06112741
20,0.06112741
21,0.06112741
22,0.06112741
23,0.06112741
24,0.06112741
25,0.06112741
26,0.06112741
27,0.06112741
28,0.06112741
29,0.06112741
30,0.06112741
31,0.06112741
32,0.06112741
33,0.06112741
34,0.06112741
35,0.06112741
36,0.06112741
37,0.06112741
38,0.06112741
39,0.06112741
40,0.06112741
41,0.06112741
42,0.06112741
43,0.06112741
44,0.06112741
45,0.06112741
46,0.06112741
47,0.06112741
48,0.06112741
49,0.06112741
50,0.06112741
51,0.06112741
52,0.06112741
53,0.06112741
54,0.06112741
55,0.06112741
56,0.06112741
57,0.06112741
58,0.06112741
59,0.06112741
60,0.06112741
61,0.06112741
62,0.06112741
63,0.06112741
64,0.06112741
65,0.06112741
66,0.06112741
67,0.06112741
68,0.06112741
69,0.06112741
70,0.06112741
71,0.06112741
72,0.06112741
73,0.06112741
74,0.06112741
75,0.06112741
76,0.06112741
77,0.06112741
78,0.06112741
79,0.06112741
80,0.06112741
81,0.06112741
82,0.06112741
83,0.06112741
84,0.06112741
85,0.06112741
86,0.06112741
87,0.06112741
88,0.06112741
89,0.06112741
90,0.06112741
91,0.06112741
92,0.06112741
93,0.06112741
94,0.06112741
95,0.06112741
96,0.06112741
97,0.06112741
98,0.06112741
99,0.06112741
100,0.06112741
101,0.06112741
102,0.06112741
103,0.06112741
104,0.06112741
105,0.06112741
106,0.06112741
107,0.06112741
108,0.06112741
109,0.06112741
110,0.06112741
111,0.06112741
112,0.06112741
113,0.06112741
114,0.06112741
115,0.06112741
116,0.06112741
117,0.06112741
118,0.06112741
119,0.06112741
120,0.06112741
121,0.06112741
122,0.06112741
123,0.06112741
124,0.06112741
125,0.06112741
126,0.06112741
127,0.06112741
128,0.06112741
129,0.06112741
130,0.06112741
131,0.06112741
132,0.06112741
133,0.06112741
134,0.06112741
135,0.06112741
136,0.06112741
137,0.06112741
138,0.06112741
139,0.06112741
140,0.06112741
141,0.06112741
142,0.06112741
143,0.06112741
144,0.06112741
145,0.06112741
146,0.06112741
147,0.06112741
148,0.06112741
149,0.06112741
