Iteration,BestFitness
0,64.000000
1,64.000000
2,58.000000
3,44.666667
4,44.666667
5,44.666667
6,44.666667
7,44.666667
8,44.666667
9,44.666667
10,44.666667
11,44.666667
12,44.666667
13,44.666667
14,44.666667
15,44.666667
16,44.666667
17,44.666667
18,44.666667
19,44.666667
20,44.666667
21,44.666667
22,44.666667
23,44.666667
24,44.666667
25,44.666667
26,44.666667
27,44.666667
28,44.666667
29,44.666667
30,44.666667
31,44.666667
32,44.666667
33,44.666667
34,44.666667
35,44.666667
36,44.666667
37,44.666667
38,44.666667
39,44.666667
40,44.666667
41,44.666667
42,44.666667
43,44.666667
44,44.666667
45,44.666667
46,44.666667
47,44.666667
48,44.666667
49,44.666667
50,44.666667
51,44.666667
52,44.666667
53,44.666667
54,44.666667
55,44.666667
56,44.666667
57,44.666667
58,44.666667
59,44.666667
60,44.666667
61,44.666667
62,44.666667
63,44.666667
64,44.666667
65,44.666667
66,44.666667
67,44.666667
68,44.666667
69,44.666667
70,44.666667
71,44.666667
72,44.666667
73,38.666667
74,35.000000
75,34.666667
76,34.666667
77,34.666667
78,34.666667
79,34.666667
80,34.666667
81,34.666667
82,34.666667
83,34.666667
84,34.666667
85,34.666667
86,34.666667
87,34.666667
88,34.666667
89,34.666667
90,34.666667
91,34.666667
92,34.666667
93,34.666667
94,34.666667
95,34.666667
96,34.666667
97,34.666667
98,34.666667
99,34.666667
100,34.666667
101,34.666667
102,34.666667
103,34.666667
104,34.666667
105,34.666667
106,34.666667
107,34.666667
108,34.666667
109,34.666667
110,34.666667
111,34.666667
112,34.666667
113,34.666667
114,34.666667
115,34.666667
116,34.666667
117,34.666667
118,34.666667
119,34.666667
120,34.666667
121,34.666667
122,34.666667
123,34.666667
124,34.666667
125,34.666667
126,34.666667
127,34.666667
128,34.666667
129,34.666667
130,34.666667
131,34.666667
132,34.666667
133,34.666667
134,34.666667
135,34.666667
136,34.666667
137,34.666667
138,34.666667
139,34.666667
140,34.666667
141,34.666667
142,34.666667
143,34.666667
144,34.666667
145,34.666667
146,34.666667
147,34.666667
148,34.666667
149,34.666667
